"ID","IDENT","Airport type","Airport name","Latitude","Longitude","Continent","iso_country","Country name"
4341,LIME,large_airport,Milan Bergamo Airport,"45.673901","9.70417",EU,IT,Italy
4342,LIMF,large_airport,Turin Airport,"45.200802","7.64963",EU,IT,Italy
4354,LIPE,large_airport,Bologna Guglielmo Marconi Airport,"44.5354","11.2887",EU,IT,Italy
4366,LIPX,large_airport,Verona Villafranca Airport,"45.395699","10.8885",EU,IT,Italy
4368,LIPZ,large_airport,Venice Marco Polo Airport,"45.505299","12.3519",EU,IT,Italy
4372,LIRF,large_airport,Rome–Fiumicino Leonardo da Vinci International Airport,"41.804532","12.251998",EU,IT,Italy
4378,LIRN,large_airport,Naples International Airport,"40.886002","14.2908",EU,IT,Italy
4379,LIRP,large_airport,Pisa International Airport,"43.683899","10.3927",EU,IT,Italy
2766,EYVI,large_airport,Vilnius International Airport,"54.634102","25.285801",EU,LT,Lithuania
2563,ELLX,large_airport,Luxembourg-Findel International Airport,"49.6233333","6.2044444",EU,LU,Luxembourg
2758,EVRA,large_airport,Riga International Airport,"56.92359924316406","23.971099853515625",EU,LV,Latvia
4613,LYPG,large_airport,Podgorica Airport / Podgorica Golubovci Airbase,"42.359402","19.2519",EU,ME,Montenegro
4573,LWSK,large_airport,Skopje International Airport,"41.961601","21.621401",EU,MK,North Macedonia
4427,LMML,large_airport,Malta International Airport,"35.857498","14.4775",EU,MT,Malta
2513,EHAM,large_airport,Amsterdam Airport Schiphol,"52.308601","4.76389",EU,NL,Netherlands
2518,EHEH,large_airport,Eindhoven Airport,"51.4500999451","5.37452983856",EU,NL,Netherlands
2570,ENBR,large_airport,"Bergen Airport, Flesland","60.2934","5.21814",EU,NO,Norway
2578,ENGM,large_airport,"Oslo Airport, Gardermoen","60.193901","11.1004",EU,NO,Norway
2599,ENTC,large_airport,"Tromsø Airport, Langnes","69.683296","18.9189",EU,NO,Norway
2601,ENVA,large_airport,"Trondheim Airport, Værnes","63.457802","10.924",EU,NO,Norway
2602,ENZV,large_airport,"Stavanger Airport, Sola","58.876701","5.63778",EU,NO,Norway
2608,EPGD,large_airport,Gdańsk Lech Wałęsa Airport,"54.377601623535156","18.46619987487793",EU,PL,Poland
2609,EPKK,large_airport,Kraków John Paul II International Airport,"50.077702","19.7848",EU,PL,Poland
2637,EPWA,large_airport,Warsaw Chopin Airport,"52.1656990051","20.967100143399996",EU,PL,Poland
4448,LPFR,large_airport,Faro Airport,"37.0144004822",-7.96590995789,EU,PT,Portugal
4456,LPPD,large_airport,João Paulo II Airport,"37.7411994934",-25.6979007721,EU,PT,Portugal
4459,LPPR,large_airport,Francisco de Sá Carneiro Airport,"41.2481002808",-8.68138980865,EU,PT,Portugal
4461,LPPT,large_airport,Humberto Delgado Airport (Lisbon Portela Airport),"38.7813",-9.13592,EU,PT,Portugal
4482,LROP,large_airport,Henri Coandă International Airport,"44.5711111","26.085",EU,RO,Romania
4610,LYBE,large_airport,Belgrade Nikola Tesla Airport,"44.8184013367","20.3090991974",EU,RS,Serbia
41136,RU-0016,large_airport,Lipetsk Air Base,"52.6349983215332","39.44499969482422",EU,RU,Russia
42924,RU-0035,large_airport,Grozny North Airport,"43.388302","45.698601",EU,RU,Russia
35046,RU-4464,large_airport,Olenya Air Base,"68.151802062988","33.463901519775",EU,RU,Russia
6462,UHWW,large_airport,Vladivostok International Airport,"43.396256","132.148155",EU,RU,Russia
6489,ULLI,large_airport,Pulkovo Airport,"59.80030059814453","30.262500762939453",EU,RU,Russia
6506,UNKL,large_airport,Krasnoyarsk International Airport,"56.173077","92.492437",EU,RU,Russia
6507,UNNT,large_airport,Novosibirsk Tolmachevo Airport,"55.019756","82.618675",EU,RU,Russia
326363,URRP,large_airport,Platov International Airport,"47.493888","39.924722",EU,RU,Russia
6519,URSS,large_airport,Sochi International Airport,"43.449902","39.9566",EU,RU,Russia
42967,UUBW,large_airport,Zhukovsky International Airport,"55.553299","38.150002",EU,RU,Russia
26394,UUDD,large_airport,Domodedovo International Airport,"55.40879821777344","37.90629959106445",EU,RU,Russia
26396,UUEE,large_airport,Sheremetyevo International Airport,"55.972599","37.4146",EU,RU,Russia
26401,UUWW,large_airport,Vnukovo International Airport,"55.5914993286","37.2615013123",EU,RU,Russia
26404,UWKD,large_airport,Kazan International Airport,"55.606201171875","49.278701782227",EU,RU,Russia
339001,UWSG,large_airport,Gagarin International Airport,"51.712778","46.171111",EU,RU,Russia
26411,UWUU,large_airport,Ufa International Airport,"54.557498931885","55.874401092529",EU,RU,Russia
26412,UWWW,large_airport,Kurumoch International Airport,"53.504901885986","50.16429901123",EU,RU,Russia
2648,ESGG,large_airport,Gothenburg-Landvetter Airport,"57.662799835205","12.279800415039",EU,SE,Sweden
2701,ESSA,large_airport,Stockholm-Arlanda Airport,"59.651901245117","17.918600082397",EU,SE,Sweden
4386,LJLJ,large_airport,Ljubljana Jože Pučnik Airport,"46.223701","14.4576",EU,SI,Slovenia
4617,LZIB,large_airport,M. R. Štefánik Airport,"48.17020034790039","17.21269989013672",EU,SK,Slovakia
6467,UKBB,large_airport,Boryspil International Airport,"50.345001220703125","30.894699096679688",EU,UA,Ukraine
6481,UKLL,large_airport,Lviv International Airport,"49.8125","23.9561",EU,UA,Ukraine
