"ID","IDENT","Airport_type","Name","Continent","iso_country"
35046,RU-4464,large_airport,Olenya Air Base,EU,RU
6462,UHWW,large_airport,Vladivostok International Airport,EU,RU
6467,UKBB,large_airport,Boryspil International Airport,EU,UA
6481,UKLL,large_airport,Lviv International Airport,EU,UA
6489,ULLI,large_airport,Pulkovo Airport,EU,RU
6501,UMMS,large_airport,Minsk National Airport,EU,BY
6506,UNKL,large_airport,Krasnoyarsk International Airport,EU,RU
6507,UNNT,large_airport,Novosibirsk Tolmachevo Airport,EU,RU
326363,URRP,large_airport,Platov International Airport,EU,RU
6519,URSS,large_airport,Sochi International Airport,EU,RU
42967,UUBW,large_airport,Zhukovsky International Airport,EU,RU
26394,UUDD,large_airport,Domodedovo International Airport,EU,RU
26396,UUEE,large_airport,Sheremetyevo International Airport,EU,RU
26401,UUWW,large_airport,Vnukovo International Airport,EU,RU
26404,UWKD,large_airport,Kazan International Airport,EU,RU
339001,UWSG,large_airport,Gagarin International Airport,EU,RU
26411,UWUU,large_airport,Ufa International Airport,EU,RU
26412,UWWW,large_airport,Kurumoch International Airport,EU,RU
